M,N,K,diff,GLOP/s,GiB/s
12,20000,4,0.000000,73.304266,45.513279
4,20000,12,0.000001,96.562962,59.954178
12,20000,12,0.000001,183.245740,56.886965
12,20000,4,0.000000,73.796058,45.818623
4,20000,12,0.000001,96.353376,59.824049
24,20000,10,0.000001,218.431774,57.638625
10,20000,24,0.000002,272.083394,71.795932
30,20000,24,0.000003,397.226586,55.491913
30,20000,10,0.000001,232.609530,57.769202
10,20000,30,0.000003,283.214246,70.337019
40,20000,20,0.000002,393.748989,55.006098
20,20000,40,0.000004,379.618744,53.032126
60,20000,40,0.000004,492.485871,38.221934
60,20000,20,0.000002,426.901368,53.011051
20,20000,60,0.000006,405.356961,50.335745
60,20000,35,0.000004,464.165331,39.111740
35,20000,60,0.000006,450.977171,38.000472
105,20000,60,0.000006,537.064940,26.199942
105,20000,35,0.000004,482.294541,34.222613
35,20000,105,0.000011,449.785709,31.915854
84,20000,56,0.000006,509.465910,28.242685
56,20000,84,0.000008,530.513178,29.409458
168,20000,84,0.000008,554.975435,18.459327
168,20000,56,0.000006,540.740272,23.981125
56,20000,168,0.000015,547.434743,24.278016
112,20000,84,0.000008,568.851524,22.074344
84,20000,112,0.000011,530.229096,20.575597
252,20000,112,0.000011,562.284000,13.507304
252,20000,84,0.000008,556.747812,16.460692
84,20000,252,0.000023,536.951737,15.875406
